timestamp,axis1,axis2,axis3,sadeh,cole-kripke
2012-06-27T16:37:00Z,0,4,13,S,S
2012-06-27T16:38:00Z,12,0,79,S,S
2012-06-27T16:39:00Z,0,0,4,S,S
2012-06-27T16:40:00Z,0,9,9,S,S
2012-06-27T16:41:00Z,0,0,0,S,S
2012-06-27T16:42:00Z,0,0,0,S,S
2012-06-27T16:43:00Z,48,84,37,S,S
2012-06-27T16:44:00Z,62,85,38,S,S
2012-06-27T16:45:00Z,0,14,0,S,W
2012-06-27T16:46:00Z,1,78,0,W,W
2012-06-27T16:47:00Z,3800,2684,3518,W,W
2012-06-27T16:48:00Z,3281,2084,2762,W,W
2012-06-27T16:49:00Z,6275,4447,5356,W,W
2012-06-27T16:50:00Z,405,567,558,W,W
2012-06-27T16:51:00Z,53,125,61,W,W
2012-06-27T16:52:00Z,0,0,0,W,W
2012-06-27T16:53:00Z,1809,1636,1926,W,W
2012-06-27T16:54:00Z,7599,5995,8152,W,W
2012-06-27T16:55:00Z,731,637,652,W,W
2012-06-27T16:56:00Z,1491,1171,1172,W,W
2012-06-27T16:57:00Z,689,451,643,W,W
2012-06-27T16:58:00Z,3640,2517,3358,W,W
2012-06-27T16:59:00Z,8581,6267,8607,W,W
2012-06-27T17:00:00Z,7677,6347,7955,W,W
2012-06-27T17:01:00Z,6495,5543,7945,W,W
2012-06-27T17:02:00Z,9482,7517,10373,W,W
2012-06-27T17:03:00Z,1366,1319,1582,W,W
2012-06-27T17:04:00Z,122,175,228,W,W
2012-06-27T17:05:00Z,2985,2345,3280,W,W
2012-06-27T17:06:00Z,6648,3904,4790,W,W
2012-06-27T17:07:00Z,7536,5276,7356,W,W
2012-06-27T17:08:00Z,4120,3152,3377,W,W
2012-06-27T17:09:00Z,1714,1538,1862,W,W
2012-06-27T17:10:00Z,4345,2747,3989,W,W
2012-06-27T17:11:00Z,0,34,4,W,W
2012-06-27T17:12:00Z,0,0,0,W,W
2012-06-27T17:13:00Z,0,0,0,W,W
2012-06-27T17:14:00Z,0,0,0,W,W
2012-06-27T17:15:00Z,29,159,62,W,S
2012-06-27T17:16:00Z,7,75,7,S,S
2012-06-27T17:17:00Z,67,120,62,S,S
2012-06-27T17:18:00Z,0,0,4,S,S
2012-06-27T17:19:00Z,0,17,9,S,W
2012-06-27T17:20:00Z,177,265,119,W,W
2012-06-27T17:21:00Z,3072,2471,2847,W,W
2012-06-27T17:22:00Z,1717,1520,2213,W,W
2012-06-27T17:23:00Z,3586,2954,3465,W,W
2012-06-27T17:24:00Z,2410,1504,2085,W,W
2012-06-27T17:25:00Z,535,793,769,W,W
2012-06-27T17:26:00Z,0,314,255,W,W
2012-06-27T17:27:00Z,532,599,581,W,W
2012-06-27T17:28:00Z,0,0,0,W,W
2012-06-27T17:29:00Z,0,0,0,W,S
2012-06-27T17:30:00Z,0,0,0,W,S
2012-06-27T17:31:00Z,77,67,235,W,S
2012-06-27T17:32:00Z,0,0,0,S,S
2012-06-27T17:33:00Z,0,0,0,S,S
2012-06-27T17:34:00Z,0,0,0,S,S
2012-06-27T17:35:00Z,0,0,0,S,S
2012-06-27T17:36:00Z,0,0,0,S,S
2012-06-27T17:37:00Z,0,3,0,S,W
2012-06-27T17:38:00Z,61,58,32,W,W
2012-06-27T17:39:00Z,2915,2005,2776,W,W
2012-06-27T17:40:00Z,2286,1578,2249,W,W
2012-06-27T17:41:00Z,2261,1175,1923,W,W
2012-06-27T17:42:00Z,2323,1561,2648,W,W
2012-06-27T17:43:00Z,902,788,814,W,W
2012-06-27T17:44:00Z,2935,2829,2982,W,W
2012-06-27T17:45:00Z,2582,2232,2724,W,W
2012-06-27T17:46:00Z,2127,1890,1884,W,W
2012-06-27T17:47:00Z,1078,943,1416,W,W
2012-06-27T17:48:00Z,3478,2270,2716,W,W
2012-06-27T17:49:00Z,53,334,215,W,W
2012-06-27T17:50:00Z,0,0,2,W,W
2012-06-27T17:51:00Z,24,130,169,W,W
2012-06-27T17:52:00Z,470,467,557,W,W
2012-06-27T17:53:00Z,0,21,23,W,S
2012-06-27T17:54:00Z,14,200,92,W,W
2012-06-27T17:55:00Z,531,644,648,W,W
2012-06-27T17:56:00Z,1067,1231,1379,W,W
2012-06-27T17:57:00Z,29,187,206,W,W
2012-06-27T17:58:00Z,1405,1368,1214,W,W
2012-06-27T17:59:00Z,711,764,839,W,W
2012-06-27T18:00:00Z,81,266,270,W,W
2012-06-27T18:01:00Z,42,106,105,W,W
2012-06-27T18:02:00Z,0,44,21,W,W
2012-06-27T18:03:00Z,14,22,55,W,S
2012-06-27T18:04:00Z,0,0,0,S,S
2012-06-27T18:05:00Z,32,0,26,S,S
2012-06-27T18:06:00Z,21,25,36,S,S
2012-06-27T18:07:00Z,0,0,0,S,S
2012-06-27T18:08:00Z,35,2,30,S,S
2012-06-27T18:09:00Z,0,0,0,S,S
2012-06-27T18:10:00Z,126,333,430,S,S
2012-06-27T18:11:00Z,0,0,0,S,S
2012-06-27T18:12:00Z,0,4,0,S,S
2012-06-27T18:13:00Z,167,281,186,W,W
2012-06-27T18:14:00Z,218,418,312,W,W
2012-06-27T18:15:00Z,2474,2690,3014,W,W
2012-06-27T18:16:00Z,958,1256,1241,W,W
2012-06-27T18:17:00Z,3151,2844,3745,W,W
2012-06-27T18:18:00Z,2659,2964,3036,W,W
2012-06-27T18:19:00Z,3152,2707,3233,W,W
2012-06-27T18:20:00Z,3090,2719,3436,W,W
2012-06-27T18:21:00Z,1880,2068,2311,W,W
2012-06-27T18:22:00Z,891,715,968,W,W
2012-06-27T18:23:00Z,2891,2725,3472,W,W
2012-06-27T18:24:00Z,133,282,324,W,W
2012-06-27T18:25:00Z,156,108,83,W,W
2012-06-27T18:26:00Z,19,108,185,W,W
2012-06-27T18:27:00Z,358,546,532,W,W
2012-06-27T18:28:00Z,62,19,40,W,S
2012-06-27T18:29:00Z,105,110,230,W,S
2012-06-27T18:30:00Z,0,0,0,W,S
2012-06-27T18:31:00Z,65,142,140,W,S
2012-06-27T18:32:00Z,73,30,44,W,S
2012-06-27T18:33:00Z,0,46,26,S,S
2012-06-27T18:34:00Z,0,0,0,S,S
2012-06-27T18:35:00Z,23,54,104,S,S
2012-06-27T18:36:00Z,0,0,0,S,W
2012-06-27T18:37:00Z,0,0,0,S,W
2012-06-27T18:38:00Z,1864,1611,2200,W,W
2012-06-27T18:39:00Z,96,153,204,W,W
2012-06-27T18:40:00Z,0,0,0,W,W
2012-06-27T18:41:00Z,85,204,318,W,W
2012-06-27T18:42:00Z,0,0,0,W,W
2012-06-27T18:43:00Z,0,0,0,W,S
2012-06-27T18:44:00Z,67,48,185,S,S
2012-06-27T18:45:00Z,1,5,33,S,S
2012-06-27T18:46:00Z,0,0,0,S,S
2012-06-27T18:47:00Z,0,0,0,S,S
2012-06-27T18:48:00Z,0,0,0,S,S
2012-06-27T18:49:00Z,0,0,0,S,W
2012-06-27T18:50:00Z,308,273,421,W,W
2012-06-27T18:51:00Z,2098,1663,2135,W,W
2012-06-27T18:52:00Z,0,0,0,W,W
2012-06-27T18:53:00Z,94,96,119,W,W
2012-06-27T18:54:00Z,2307,1768,2567,W,W
2012-06-27T18:55:00Z,0,0,0,W,W
2012-06-27T18:56:00Z,0,0,14,W,W
2012-06-27T18:57:00Z,0,0,11,W,W
2012-06-27T18:58:00Z,0,0,0,W,W
